week,arrest,fin,age,race,wexp,mar,paro,prio
20,1,0,27,1,0,0,1,3
17,1,0,18,1,0,0,1,8
25,1,0,19,0,1,0,1,13
52,0,1,23,1,1,1,1,1
52,0,0,19,0,1,0,1,3
52,0,0,24,1,1,0,0,2
23,1,0,25,1,1,1,1,0
52,0,1,21,1,1,0,1,4
52,0,0,22,1,0,0,0,6
52,0,0,20,1,1,0,0,0
52,0,1,26,1,0,0,1,3
52,0,0,40,1,1,0,0,2
37,1,0,17,1,1,0,1,5
52,0,0,37,1,1,0,0,2
25,1,0,20,1,0,0,1,3
46,1,1,22,1,1,0,1,2
28,1,0,19,1,0,0,0,7
52,0,0,20,1,0,0,0,2
52,0,0,25,1,0,0,1,12
52,0,0,24,0,1,0,1,1
52,0,0,23,1,0,0,1,4
52,0,1,44,1,1,1,1,0
24,1,1,29,1,1,0,1,2
52,0,1,28,0,1,0,1,1
52,0,1,21,1,1,0,0,0
52,0,1,19,1,1,0,1,2
52,0,0,33,1,1,0,1,1
52,0,0,19,1,0,0,0,2
52,0,1,19,1,0,0,1,3
52,0,1,23,1,1,1,1,9
52,0,1,23,1,0,0,1,3
52,0,1,19,1,0,0,1,1
52,0,1,42,1,1,0,0,0
52,0,0,23,1,1,1,0,2
52,0,0,24,1,1,0,0,3
50,1,1,20,1,1,0,1,2
52,0,0,22,1,1,0,1,5
52,0,0,27,1,1,0,0,2
52,0,1,19,1,0,0,0,4
52,0,0,28,1,1,0,1,3
52,0,1,33,1,1,1,0,9
52,0,0,24,1,1,0,1,1
10,1,0,21,1,0,0,1,14
52,0,0,22,1,0,0,1,2
52,0,1,19,1,0,0,1,2
52,0,1,22,1,0,0,0,2
52,0,1,22,1,0,0,0,15
20,1,1,23,1,1,0,1,5
52,0,0,32,1,1,1,1,2
52,0,1,27,1,1,0,1,0
52,0,1,36,1,1,0,0,0
52,0,1,22,1,1,0,1,1
52,0,1,32,1,1,0,1,1
50,1,1,19,1,1,0,0,10
52,0,0,28,1,1,1,1,1
52,0,0,32,0,1,0,0,3
52,0,0,33,1,1,1,1,1
52,0,0,26,1,0,0,1,1
52,0,1,20,1,1,0,1,0
52,0,1,42,1,1,0,0,9
6,1,0,19,1,0,0,0,6
52,0,0,22,1,1,0,0,2
52,0,0,22,1,0,0,1,5
52,0,0,36,1,0,0,0,11
52,1,0,23,1,1,0,0,2
52,0,1,27,1,1,0,1,3
52,0,1,21,1,0,0,1,1
52,0,1,22,1,1,0,1,2
49,1,0,35,1,1,0,1,3
52,0,0,21,1,1,0,1,4
52,0,1,25,1,1,0,1,5
52,0,0,18,1,0,0,1,0
52,0,1,26,1,1,0,1,2
52,0,0,30,1,1,0,0,4
52,0,0,20,1,0,0,1,2
52,0,1,43,1,1,0,1,1
43,1,0,23,1,1,1,1,4
52,0,0,42,0,1,0,0,2
52,0,0,21,0,0,0,0,2
5,1,0,19,1,0,0,0,3
27,1,0,29,1,0,0,0,4
52,0,0,30,1,1,0,1,3
52,0,1,21,0,1,1,1,10
52,0,0,20,1,0,0,1,7
22,1,1,19,1,0,0,1,10
52,0,1,22,1,1,0,1,1
52,0,0,25,1,0,0,1,3
18,1,0,22,1,0,0,0,4
52,0,1,22,1,1,0,1,4
52,0,1,24,1,0,0,1,2
52,0,0,39,1,1,1,1,4
52,0,0,21,1,1,0,1,1
52,0,1,20,1,1,0,1,2
52,0,1,24,1,0,0,0,1
52,0,0,25,1,1,0,1,2
24,1,1,21,1,1,0,0,4
52,0,1,20,1,0,0,1,1
52,0,1,19,1,0,0,1,3
52,0,1,24,1,0,0,0,2
52,0,1,24,1,1,0,1,1
2,1,0,44,1,1,0,1,2
26,1,0,32,1,1,0,0,2
52,0,0,23,1,1,0,0,3
49,1,1,19,1,0,0,1,1
52,0,0,20,1,0,0,1,1
21,1,0,27,1,1,0,1,0
48,1,0,19,1,0,0,0,6
52,0,1,21,1,1,0,0,1
52,0,0,20,1,0,0,1,1
52,0,0,25,1,0,0,1,3
52,0,0,20,1,0,0,1,6
52,0,1,23,1,1,0,1,3
52,0,0,20,1,0,0,0,2
52,0,1,30,1,1,0,0,1
52,0,0,25,1,1,1,1,0
52,0,0,22,1,1,0,1,1
52,0,0,24,1,1,0,1,3
52,0,1,18,1,0,0,0,4
8,1,1,40,1,1,0,1,1
52,0,0,22,1,0,0,1,1
52,0,1,23,1,0,0,1,6
49,1,0,21,1,1,0,1,1
52,0,1,24,0,1,1,1,2
52,0,1,24,1,0,0,1,14
52,0,0,38,1,1,0,1,2
52,0,0,26,0,1,0,0,3
52,0,1,29,1,1,0,0,1
52,0,0,21,1,0,0,1,8
52,0,1,21,1,1,1,1,2
52,0,0,22,0,0,0,1,4
8,1,0,23,1,0,0,1,5
52,0,0,27,1,1,0,0,2
52,0,1,18,1,0,0,1,2
13,1,0,23,1,0,0,0,5
52,0,1,24,1,0,0,1,2
52,0,1,21,1,0,0,0,3
52,0,1,20,1,0,0,1,4
52,0,1,27,1,1,0,0,4
8,1,1,20,1,0,0,1,11
52,0,1,29,1,1,1,1,5
33,1,0,19,1,0,0,0,10
52,0,0,20,1,0,0,0,8
52,0,1,18,1,0,0,1,0
11,1,1,19,1,0,0,1,2
52,0,1,24,1,1,0,1,1
52,0,0,28,0,1,0,1,4
52,0,1,26,1,0,0,0,4
52,0,1,17,1,0,0,1,0
52,0,0,21,1,0,0,1,3
37,1,0,34,1,1,0,0,2
52,0,1,26,1,1,0,0,1
52,0,1,43,1,1,0,1,2
52,0,0,20,1,0,0,1,0
44,1,0,20,1,1,0,1,1
52,0,0,32,1,1,0,1,1
52,1,0,25,0,1,0,1,1
52,0,1,22,1,0,0,1,1
52,0,1,31,0,1,0,1,1
52,0,1,42,1,1,1,1,4
52,0,1,32,1,1,0,0,10
52,0,1,20,1,0,0,0,8
52,0,0,20,0,0,0,0,1
52,0,1,36,1,0,0,1,8
52,0,1,34,1,1,0,1,2
52,0,1,28,1,1,1,1,3
52,0,1,21,1,1,0,1,2
52,0,0,18,0,0,0,1,6
52,0,1,20,0,0,0,1,4
52,0,0,17,0,0,0,1,3
52,0,1,44,1,0,0,1,3
52,0,1,30,1,1,0,1,5
52,0,1,22,1,0,0,0,11
9,1,1,30,1,0,0,0,3
17,1,0,23,1,0,0,0,8
52,0,1,20,1,1,0,0,2
52,0,0,19,1,0,0,0,10
52,0,1,21,1,0,0,1,1
52,0,1,22,1,0,0,1,6
52,0,1,19,1,0,0,1,2
52,0,1,21,1,0,0,0,10
16,1,0,38,1,0,0,1,3
52,0,1,24,1,0,0,0,7
52,0,1,39,1,1,1,0,2
3,1,0,30,1,0,0,1,3
52,0,0,37,1,1,0,0,0
52,0,1,23,1,0,0,1,2
52,0,0,21,0,0,0,1,1
52,0,1,31,1,1,0,1,1
52,0,1,24,1,0,0,0,13
52,0,0,31,0,1,1,1,3
52,0,0,24,1,0,0,1,2
52,0,1,24,1,1,0,1,1
52,0,1,21,0,1,0,0,1
52,0,1,22,1,0,0,0,2
45,1,0,20,1,0,0,1,5
52,0,1,21,1,1,0,1,0
52,0,1,24,1,1,0,1,2
52,0,0,25,1,1,0,1,1
52,0,0,19,1,0,0,1,1
52,0,0,20,0,0,0,0,2
52,0,0,20,1,1,0,1,4
28,1,0,24,1,1,0,0,1
52,0,1,18,1,0,0,0,4
16,1,1,28,1,0,0,1,5
15,1,1,19,1,0,0,0,4
52,0,0,19,1,1,0,0,1
52,0,0,25,1,1,1,0,0
52,0,1,19,0,0,0,0,1
52,0,1,25,1,0,0,0,2
14,1,0,24,1,0,0,0,0
52,0,1,20,1,1,0,1,1
52,0,1,30,1,0,0,1,1
52,0,0,29,1,1,0,1,4
52,0,0,28,0,1,1,1,4
52,0,1,36,1,0,0,1,1
52,0,1,23,1,1,0,0,7
52,0,1,23,1,0,0,0,2
52,0,0,24,1,1,0,1,4
52,0,0,29,1,1,1,1,1
52,0,0,26,1,1,1,1,2
52,0,0,39,0,1,1,0,3
52,0,1,20,1,1,0,1,1
52,0,0,23,1,1,0,1,3
52,0,1,21,1,1,0,1,2
52,0,1,21,1,0,0,1,1
7,1,1,20,0,0,0,1,2
52,0,1,20,0,0,0,1,3
52,0,1,27,1,1,0,1,2
43,1,0,18,0,1,0,0,3
46,1,1,25,1,1,0,0,1
40,1,1,20,1,0,0,0,6
52,0,1,20,1,1,0,0,5
14,1,0,20,0,0,0,0,7
52,0,0,24,0,1,1,0,11
52,0,1,23,1,0,0,0,1
8,1,0,28,1,1,0,0,4
52,0,0,21,1,0,0,0,2
52,0,0,25,1,0,0,0,1
52,0,0,24,1,1,0,1,1
52,0,0,29,1,1,1,0,3
52,0,0,22,1,1,1,1,2
25,1,0,28,1,0,0,1,18
52,0,0,19,1,0,0,1,1
52,0,0,20,1,1,0,1,1
17,1,0,20,1,0,0,1,5
37,1,1,22,1,1,0,1,1
52,0,0,20,1,0,0,1,8
52,0,1,21,1,0,0,1,2
52,0,1,21,1,1,0,1,1
32,1,0,19,1,0,0,1,3
52,0,0,26,1,1,0,1,1
52,0,0,23,1,1,1,1,2
52,0,1,22,0,1,0,1,4
52,0,1,24,1,1,0,0,8
52,0,1,40,1,0,0,0,5
52,0,1,32,1,0,0,0,2
52,0,0,38,1,1,0,0,0
52,0,0,26,1,1,0,1,1
12,1,1,27,1,1,0,1,0
52,0,0,29,1,1,1,1,3
18,1,0,20,1,1,0,1,4
52,0,0,22,1,0,0,0,1
52,0,0,22,0,0,0,0,5
14,1,1,19,1,1,0,0,12
52,0,0,22,1,1,0,0,1
52,0,0,19,1,0,0,0,3
52,0,1,32,1,1,0,0,1
52,0,1,25,1,1,0,1,2
38,1,0,21,1,0,0,1,2
52,0,1,36,1,1,0,1,1
24,1,0,40,1,1,0,0,2
20,1,1,20,1,0,0,1,1
32,1,1,19,1,0,0,1,0
52,0,0,18,1,0,0,1,4
52,0,1,28,1,1,0,0,0
52,0,1,22,1,1,0,0,2
52,0,1,25,1,0,0,1,1
52,0,1,28,1,1,0,0,2
52,0,1,25,1,1,0,0,2
52,0,1,20,1,1,0,0,4
52,0,1,24,1,0,0,0,5
52,0,0,24,1,1,0,0,0
52,0,1,36,0,1,0,1,2
52,0,1,34,1,1,0,0,1
31,1,0,19,1,1,0,1,5
20,1,1,23,1,0,0,1,1
40,1,0,19,1,1,0,1,3
52,0,1,40,1,1,0,0,2
52,0,1,31,1,1,0,0,2
52,0,0,23,1,1,1,1,0
52,0,0,42,1,0,0,1,2
42,1,1,26,1,1,1,1,1
52,0,0,20,1,0,0,1,9
26,1,0,27,1,1,0,1,1
52,0,1,24,1,0,0,0,5
52,0,0,25,1,0,0,0,2
52,0,1,22,1,1,0,1,3
52,0,1,20,1,0,0,1,2
52,0,1,20,1,1,0,1,2
47,1,0,22,1,0,0,1,3
52,0,0,18,1,1,0,1,1
52,0,0,20,1,1,0,1,2
40,1,0,20,1,1,0,1,1
52,0,0,22,1,1,0,1,2
52,0,1,30,1,1,1,0,2
52,0,0,36,0,1,0,0,1
52,0,0,25,0,1,1,1,5
21,1,0,29,1,0,0,1,3
52,0,0,19,1,1,0,1,3
52,0,1,24,1,1,0,1,2
52,0,1,21,1,0,0,0,0
52,0,1,35,1,1,0,1,6
52,0,1,19,0,1,0,0,4
1,1,0,20,1,0,0,0,0
43,1,0,22,0,0,0,0,3
24,1,0,23,1,1,0,0,1
11,1,0,19,1,0,0,0,18
52,0,0,18,1,0,0,1,3
52,0,1,38,0,1,0,1,2
52,0,1,18,0,0,0,1,6
52,0,0,22,1,1,1,1,1
33,1,0,21,1,0,0,1,3
52,0,0,21,1,1,0,1,1
46,1,1,21,1,0,0,1,5
36,1,1,17,1,0,0,1,3
52,0,1,22,1,1,0,1,1
52,0,1,23,1,1,1,1,0
18,1,1,19,1,0,0,1,4
52,0,1,21,1,1,0,0,1
52,0,1,35,1,1,0,0,5
50,1,0,23,1,1,0,0,8
52,0,1,22,1,0,0,0,2
34,1,1,25,1,0,0,0,11
52,0,1,20,1,1,0,0,4
35,1,1,19,0,0,0,0,1
52,0,0,20,1,0,0,0,1
52,0,1,41,0,1,1,1,3
39,1,0,23,0,1,0,1,4
9,1,1,26,1,1,0,0,0
52,0,0,26,1,0,0,0,2
52,0,1,38,1,1,0,1,1
52,0,0,27,1,1,0,1,1
34,1,1,19,1,0,0,1,3
52,0,0,25,1,1,0,0,1
52,0,1,30,1,1,0,0,2
52,0,1,42,1,1,0,0,1
44,1,0,20,1,1,0,1,2
52,0,1,23,1,1,0,1,1
52,0,0,21,1,0,0,1,3
35,1,1,20,1,1,0,0,3
30,1,0,17,1,0,0,0,1
39,1,1,26,1,0,1,0,5
52,0,1,24,1,1,0,1,1
52,0,0,37,1,1,1,1,1
52,0,0,28,1,1,1,1,1
52,0,0,33,1,1,0,1,0
19,1,1,22,1,0,0,1,4
52,0,0,25,1,1,1,1,2
43,1,0,20,0,0,1,0,10
52,0,0,20,1,0,0,0,1
48,1,1,24,0,1,0,0,4
37,1,1,26,0,0,0,0,11
20,1,1,26,1,1,0,1,1
52,0,0,25,0,1,0,1,1
52,0,0,26,1,1,0,1,1
36,1,1,23,1,0,0,0,3
52,0,1,28,1,0,0,1,4
52,0,0,27,1,1,0,1,0
52,0,1,23,1,0,0,0,3
52,0,0,17,1,0,0,1,7
52,0,0,20,0,0,0,1,4
52,0,1,20,1,0,0,1,5
52,0,1,20,0,0,0,1,9
30,1,1,22,1,1,0,1,2
52,0,0,31,1,0,0,1,1
52,0,0,43,1,1,0,0,1
52,0,0,29,1,1,0,0,1
52,0,1,21,1,0,0,0,0
52,0,0,24,0,1,0,0,2
52,0,1,30,1,1,1,0,3
52,0,0,22,1,1,0,0,0
52,0,1,26,1,1,1,0,1
42,1,1,20,1,1,0,0,0
52,0,0,23,1,1,0,0,6
52,0,0,25,1,1,0,1,5
52,0,1,40,1,1,0,1,2
52,0,1,30,1,1,1,1,0
26,1,0,22,1,0,1,1,2
40,1,0,18,1,0,0,1,2
52,0,0,18,1,0,0,1,0
52,0,0,24,1,1,0,1,2
52,0,1,25,1,1,1,1,2
35,1,1,19,1,0,0,1,2
52,0,0,24,1,1,0,1,2
46,1,0,24,1,0,1,1,2
52,0,0,18,1,1,0,1,3
49,1,1,18,1,1,0,1,0
52,0,0,23,1,1,0,0,0
52,0,0,20,1,0,0,1,2
49,1,1,18,1,1,0,1,1
52,0,0,23,1,1,0,1,2
52,0,1,20,1,0,0,1,1
52,0,0,23,1,0,0,0,5
52,0,0,23,1,1,0,1,1
52,0,0,23,1,1,1,1,2
35,1,0,20,1,1,0,1,4
52,0,1,26,1,1,1,0,4
52,0,1,30,1,0,0,0,1
52,0,1,36,0,1,0,0,4
52,0,1,43,1,1,0,0,4
27,1,0,20,0,1,0,0,1
52,0,1,24,1,1,0,1,1
52,0,0,22,1,1,0,0,1
52,0,1,20,1,0,1,0,1
52,1,0,21,1,0,0,0,0
45,1,1,18,1,0,0,0,5
4,1,0,18,1,1,0,0,1
52,1,0,33,1,1,0,1,2
36,1,1,19,1,0,0,1,2
52,0,1,21,0,1,0,1,1
52,0,1,21,1,0,0,1,1
8,1,1,21,1,1,0,1,4
15,1,1,22,1,0,0,1,3
52,0,0,18,1,0,0,1,3
19,1,0,18,1,0,0,0,2
52,0,0,24,1,1,0,1,2
12,1,1,22,1,1,1,1,2
52,0,1,31,0,1,0,1,3
52,0,0,20,1,0,0,1,1
52,0,1,20,1,1,1,1,1
52,0,0,29,1,1,0,1,3
52,0,1,24,1,1,0,1,1
